z,Q2,flavor,flavor_index,nrep,zH1perp1_mean,zH1perp1_std
0.3032160804020101,4.0,c,7,50,0.0,0.0
0.3032160804020101,4.0,cb,8,50,0.0,0.0
0.3032160804020101,4.0,b,9,50,0.0,0.0
0.3032160804020101,4.0,bb,10,50,0.0,0.0
0.3071859296482412,4.0,u,1,50,0.2831861590077599,0.06621317792052647
0.3071859296482412,4.0,ub,2,50,-0.22557578651694218,0.05052023953689011
0.3071859296482412,4.0,d,3,50,-0.22557578651694218,0.05052023953689011
0.3071859296482412,4.0,db,4,50,0.2831861590077599,0.06621317792052647
0.3071859296482412,4.0,s,5,50,-0.22557578651694218,0.05052023953689011
0.3071859296482412,4.0,sb,6,50,-0.22557578651694218,0.05052023953689011
0.3071859296482412,4.0,c,7,50,0.0,0.0
0.3071859296482412,4.0,cb,8,50,0.0,0.0
0.3071859296482412,4.0,b,9,50,0.0,0.0
0.3071859296482412,4.0,bb,10,50,0.0,0.0
0.3111557788944724,4.0,u,1,50,0.27452469042783706,0.06355992260435556
0.3111557788944724,4.0,ub,2,50,-0.2199014768360646,0.04881485825108
0.3111557788944724,4.0,d,3,50,-0.2199014768360646,0.04881485825108
0.3111557788944724,4.0,db,4,50,0.27452469042783706,0.06355992260435556
0.3111557788944724,4.0,s,5,50,-0.2199014768360646,0.04881485825108
0.3111557788944724,4.0,sb,6,50,-0.2199014768360646,0.04881485825108
0.3111557788944724,4.0,c,7,50,0.0,0.0
0.3111557788944724,4.0,cb,8,50,0.0,0.0
0.3111557788944724,4.0,b,9,50,0.0,0.0
0.3111557788944724,4.0,bb,10,50,0.0,0.0
0.31512562814070355,4.0,u,1,50,0.26599119043830677,0.061056911451539034
0.31512562814070355,4.0,ub,2,50,-0.21458337437163727,0.04724584003384838
0.31512562814070355,4.0,d,3,50,-0.21458337437163727,0.04724584003384838
0.31512562814070355,4.0,db,4,50,0.26599119043830677,0.061056911451539034
0.31512562814070355,4.0,s,5,50,-0.21458337437163727,0.04724584003384838
0.31512562814070355,4.0,sb,6,50,-0.21458337437163727,0.04724584003384838
0.31512562814070355,4.0,c,7,50,0.0,0.0
0.31512562814070355,4.0,cb,8,50,0.0,0.0
0.31512562814070355,4.0,b,9,50,0.0,0.0
0.31512562814070355,4.0,bb,10,50,0.0,0.0
0.31909547738693467,4.0,u,1,50,0.25759599510771464,0.058697327708464864
0.31909547738693467,4.0,ub,2,50,-0.2095961521318205,0.045803204518361285
0.31909547738693467,4.0,d,3,50,-0.2095961521318205,0.045803204518361285
0.31909547738693467,4.0,db,4,50,0.25759599510771464,0.058697327708464864
0.31909547738693467,4.0,s,5,50,-0.2095961521318205,0.045803204518361285
0.31909547738693467,4.0,sb,6,50,-0.2095961521318205,0.045803204518361285
0.31909547738693467,4.0,c,7,50,0.0,0.0
0.31909547738693467,4.0,cb,8,50,0.0,0.0
0.31909547738693467,4.0,b,9,50,0.0,0.0
0.31909547738693467,4.0,bb,10,50,0.0,0.0
0.32306532663316584,4.0,u,1,50,0.24934853485920414,0.05647416005822715
0.32306532663316584,4.0,ub,2,50,-0.20491581304956955,0.04447713877874937
0.32306532663316584,4.0,d,3,50,-0.20491581304956955,0.04447713877874937
0.32306532663316584,4.0,db,4,50,0.24934853485920414,0.05647416005822715
0.32306532663316584,4.0,s,5,50,-0.20491581304956955,0.04447713877874937
0.32306532663316584,4.0,sb,6,50,-0.20491581304956955,0.04447713877874937
0.32306532663316584,4.0,c,7,50,0.0,0.0
0.32306532663316584,4.0,cb,8,50,0.0,0.0
0.32306532663316584,4.0,b,9,50,0.0,0.0
0.32306532663316584,4.0,bb,10,50,0.0,0.0
0.327035175879397,4.0,u,1,50,0.24125735856413974,0.054380271596826193
0.327035175879397,4.0,ub,2,50,-0.20051965719126805,0.04325807412044922
0.327035175879397,4.0,d,3,50,-0.20051965719126805,0.04325807412044922
0.327035175879397,4.0,db,4,50,0.24125735856413974,0.054380271596826193
0.327035175879397,4.0,s,5,50,-0.20051965719126805,0.04325807412044922
0.327035175879397,4.0,sb,6,50,-0.20051965719126805,0.04325807412044922
0.327035175879397,4.0,c,7,50,0.0,0.0
0.327035175879397,4.0,cb,8,50,0.0,0.0
0.327035175879397,4.0,b,9,50,0.0,0.0
0.327035175879397,4.0,bb,10,50,0.0,0.0
0.3310050251256281,4.0,u,1,50,0.23333015906681875,0.052408467650449424
0.3310050251256281,4.0,ub,2,50,-0.19638624582200218,0.04213676143241766
0.3310050251256281,4.0,d,3,50,-0.19638624582200218,0.04213676143241766
0.3310050251256281,4.0,db,4,50,0.23333015906681875,0.052408467650449424
0.3310050251256281,4.0,s,5,50,-0.19638624582200218,0.04213676143241766
0.3310050251256281,4.0,sb,6,50,-0.19638624582200218,0.04213676143241766
0.3310050251256281,4.0,c,7,50,0.0,0.0
0.3310050251256281,4.0,cb,8,50,0.0,0.0
0.3310050251256281,4.0,b,9,50,0.0,0.0
0.3310050251256281,4.0,bb,10,50,0.0,0.0
0.33497487437185935,4.0,u,1,50,0.22557379995322438,0.05055156156835203
0.33497487437185935,4.0,ub,2,50,-0.19249536293581668,0.04110434113926875
0.33497487437185935,4.0,d,3,50,-0.19249536293581668,0.04110434113926875
0.33497487437185935,4.0,db,4,50,0.22557379995322438,0.05055156156835203
0.33497487437185935,4.0,s,5,50,-0.19249536293581668,0.04110434113926875
0.33497487437185935,4.0,sb,6,50,-0.19249536293581668,0.04110434113926875
0.33497487437185935,4.0,c,7,50,0.0,0.0
0.33497487437185935,4.0,cb,8,50,0.0,0.0
0.33497487437185935,4.0,b,9,50,0.0,0.0
0.33497487437185935,4.0,bb,10,50,0.0,0.0
0.33894472361809047,4.0,u,1,50,0.21799434338573506,0.048802437568672044
0.33894472361809047,4.0,ub,2,50,-0.1888279747966188,0.04015240449402307
0.33894472361809047,4.0,d,3,50,-0.1888279747966188,0.04015240449402307
0.33894472361809047,4.0,db,4,50,0.21799434338573506,0.048802437568672044
0.33894472361809047,4.0,s,5,50,-0.1888279747966188,0.04015240449402307
0.33894472361809047,4.0,sb,6,50,-0.1888279747966188,0.04015240449402307
0.33894472361809047,4.0,c,7,50,0.0,0.0
0.33894472361809047,4.0,cb,8,50,0.0,0.0
0.33894472361809047,4.0,b,9,50,0.0,0.0
0.33894472361809047,4.0,bb,10,50,0.0,0.0
0.34291457286432164,4.0,u,1,50,0.21059707883454026,0.04715410971019045
0.34291457286432164,4.0,ub,2,50,-0.1853661879773869,0.03927304381468379
0.34291457286432164,4.0,d,3,50,-0.1853661879773869,0.03927304381468379
0.34291457286432164,4.0,db,4,50,0.21059707883454026,0.04715410971019045
0.34291457286432164,4.0,s,5,50,-0.1853661879773869,0.03927304381468379
0.34291457286432164,4.0,sb,6,50,-0.1853661879773869,0.03927304381468379
0.34291457286432164,4.0,c,7,50,0.0,0.0
0.34291457286432164,4.0,cb,8,50,0.0,0.0
0.34291457286432164,4.0,b,9,50,0.0,0.0
0.34291457286432164,4.0,bb,10,50,0.0,0.0
0.3468844221105528,4.0,u,1,50,0.20338655254527954,0.045599776114094874
0.3468844221105528,4.0,ub,2,50,-0.18209320633180417,0.03845889019465441
0.3468844221105528,4.0,d,3,50,-0.18209320633180417,0.03845889019465441
0.3468844221105528,4.0,db,4,50,0.20338655254527954,0.045599776114094874
0.3468844221105528,4.0,s,5,50,-0.18209320633180417,0.03845889019465441
0.3468844221105528,4.0,sb,6,50,-0.18209320633180417,0.03845889019465441
0.3468844221105528,4.0,c,7,50,0.0,0.0
0.3468844221105528,4.0,cb,8,50,0.0,0.0
0.3468844221105528,4.0,b,9,50,0.0,0.0
0.3468844221105528,4.0,bb,10,50,0.0,0.0
0.35085427135678393,4.0,u,1,50,0.19636659759102726,0.04413286766322762
0.35085427135678393,4.0,ub,2,50,-0.17899328728309413,0.03770313811636122
0.35085427135678393,4.0,d,3,50,-0.17899328728309413,0.03770313811636122
0.35085427135678393,4.0,db,4,50,0.19636659759102726,0.04413286766322762
0.35085427135678393,4.0,s,5,50,-0.17899328728309413,0.03770313811636122
0.35085427135678393,4.0,sb,6,50,-0.17899328728309413,0.03770313811636122
0.35085427135678393,4.0,c,7,50,0.0,0.0
0.35085427135678393,4.0,cb,8,50,0.0,0.0
0.35085427135678393,4.0,b,9,50,0.0,0.0
0.35085427135678393,4.0,bb,10,50,0.0,0.0
0.3548241206030151,4.0,u,1,50,0.1895403643652646,0.04274709055394063
0.3548241206030151,4.0,ub,2,50,-0.17605169776950746,0.036999557194343474
0.3548241206030151,4.0,d,3,50,-0.17605169776950746,0.036999557194343474
0.3548241206030151,4.0,db,4,50,0.1895403643652646,0.04274709055394063
