z,pT,z_pT,Q2,flavor,flavor_index,nrep,weighted_collins_mean,weighted_collins_std
0.3,0.2613065326633166,0.07839195979899498,4.0,fav,1,50,0.01479254395392138,0.012637365713508791
0.3,0.2613065326633166,0.07839195979899498,4.0,unf,3,50,-0.03707046912868664,0.015799004432119047
0.3,0.2663316582914573,0.07989949748743717,4.0,fav,1,50,0.015321245585387016,0.013063592380863367
0.3,0.2663316582914573,0.07989949748743717,4.0,unf,3,50,-0.03833316882506567,0.01631457929952655
0.3,0.271356783919598,0.0814070351758794,4.0,fav,1,50,0.015856672837157203,0.013493303883787399
0.3,0.271356783919598,0.0814070351758794,4.0,unf,3,50,-0.039607222933642876,0.01683305071734303
0.3,0.2763819095477387,0.08291457286432162,4.0,fav,1,50,0.016398655164671757,0.01392627360947277
0.3,0.2763819095477387,0.08291457286432162,4.0,unf,3,50,-0.040892010791189176,0.0173540924092435
0.3,0.2814070351758794,0.08442211055276382,4.0,fav,1,50,0.016947020484337553,0.014362273800825092
0.3,0.2814070351758794,0.08442211055276382,4.0,unf,3,50,-0.042186908593589194,0.01787737759585166
0.3,0.2864321608040201,0.08592964824120604,4.0,fav,1,50,0.017501595251851642,0.014801075698344717
0.3,0.2864321608040201,0.08592964824120604,4.0,unf,3,50,-0.043491289779776884,0.018402579239927688
0.3,0.2914572864321608,0.08743718592964823,4.0,fav,1,50,0.018062204540844003,0.015242449682124357
0.3,0.2914572864321608,0.08743718592964823,4.0,unf,3,50,-0.044804525415594744,0.0189293702906967
0.3,0.2964824120603015,0.08894472361809046,4.0,fav,1,50,0.018628672121790844,0.015686165413858196
0.3,0.2964824120603015,0.08894472361809046,4.0,unf,3,50,-0.04612598457727993,0.019457423927105536
0.3,0.30150753768844224,0.09045226130653267,4.0,fav,1,50,0.01920082054114943,0.016131991978757712
0.3,0.30150753768844224,0.09045226130653267,4.0,unf,3,50,-0.04745503473428318,0.019986413799796158
0.3,0.3065326633165829,0.09195979899497488,4.0,fav,1,50,0.019778471200666142,0.01657969802726952
0.3,0.3065326633165829,0.09195979899497488,4.0,unf,3,50,-0.04879104213112865,0.020516014271586554
0.3,0.31155778894472363,0.09346733668341708,4.0,fav,1,50,0.020361444436808672,0.017029051916492365
0.3,0.31155778894472363,0.09346733668341708,4.0,unf,3,50,-0.05013337216802473,0.021045900656253832
0.3,0.3165829145728643,0.0949748743718593,4.0,fav,1,50,0.020949559600274222,0.01747982185119003
