z,pT,z_pT,Q2,flavor,flavor_index,nrep,unpolarized_ff_mean,unpolarized_ff_std
0.3,0.09547738693467336,0.028643216080402007,4.0,fav,1,50,3.666148699402068,0.11691225907780009
0.3,0.09547738693467336,0.028643216080402007,4.0,unf,3,50,1.627113153669282,0.0374236060268098
0.3,0.10050251256281408,0.03015075376884422,4.0,fav,1,50,3.6635533724179994,0.1167471305042489
0.3,0.10050251256281408,0.03015075376884422,4.0,unf,3,50,1.6261295013986896,0.0373781706928919
0.3,0.10552763819095477,0.03165829145728643,4.0,fav,1,50,3.660826934753026,0.1165737228019602
0.3,0.10552763819095477,0.03165829145728643,4.0,unf,3,50,1.6250960469390738,0.0373304499079633
0.3,0.11055276381909548,0.033165829145728645,4.0,fav,1,50,3.6579696822303016,0.11639206411471137
0.3,0.11055276381909548,0.033165829145728645,4.0,unf,3,50,1.624012886068559,0.03728045031516854
0.3,0.11557788944723618,0.034673366834170855,4.0,fav,1,50,3.654981924707635,0.11620218390862842
0.3,0.11557788944723618,0.034673366834170855,4.0,unf,3,50,1.6228801191280857,0.03722817887166049
0.3,0.12060301507537688,0.036180904522613064,4.0,fav,1,50,3.651863986021429,0.11600411296543713
0.3,0.12060301507537688,0.036180904522613064,4.0,unf,3,50,1.6216978510059135,0.0371736428470558
0.3,0.12562814070351758,0.03768844221105527,4.0,fav,1,50,3.6486162039281216,0.11579788337488545
0.3,0.12562814070351758,0.03768844221105527,4.0,unf,3,50,1.6204661911214273,0.03711684982183954
0.3,0.1306532663316583,0.03919597989949749,4.0,fav,1,50,3.645238930043145,0.1155835285272034
0.3,0.1306532663316583,0.03919597989949749,4.0,unf,3,50,1.6191852534082452,0.03705780768612212
0.3,0.135678391959799,0.0407035175879397,4.0,fav,1,50,3.6417325297774257,0.11536108310489177
0.3,0.135678391959799,0.0407035175879397,4.0,unf,3,50,1.6178551562966497,0.03699652463767376
0.3,0.1407035175879397,0.04221105527638191,4.0,fav,1,50,3.6380973822714164,0.11513058307460021
0.3,0.1407035175879397,0.04221105527638191,4.0,unf,3,50,1.6164760226953276,0.03693300918036631
0.3,0.1457286432160804,0.04371859296482412,4.0,fav,1,50,3.6343338803267238,0.11489206567804244
0.3,0.1457286432160804,0.04371859296482412,4.0,unf,3,50,1.6150479799724275,0.03686727012254681
0.3,0.15075376884422112,0.04522613065326633,4.0,fav,1,50,3.6304424303352785,0.11464556942370502
0.3,0.15075376884422112,0.04522613065326633,4.0,unf,3,50,1.6135711599359523,0.036799316575029654
0.3,0.15577889447236182,0.04673366834170854,4.0,fav,1,50,3.6264234522061445,0.11439113407703613
0.3,0.15577889447236182,0.04673366834170854,4.0,unf,3,50,1.6120456988134684,0.036729157949266004
0.3,0.16080402010050251,0.04824120603015075,4.0,fav,1,50,3.6222773792899234,0.1141288006511639
0.3,0.16080402010050251,0.04824120603015075,4.0,unf,3,50,1.6104717372311514,0.03665680395554221
0.3,0.1658291457286432,0.04974874371859296,4.0,fav,1,50,3.6180046583008036,0.11385861139719512
0.3,0.1658291457286432,0.04974874371859296,4.0,unf,3,50,1.6088494201921717,0.03658226460086289
0.3,0.1708542713567839,0.05125628140703517,4.0,fav,1,50,3.613605749236281,0.11358060979367464
0.3,0.1708542713567839,0.05125628140703517,4.0,unf,3,50,1.6071788970544194,0.03650555018690424
0.3,0.17587939698492464,0.052763819095477386,4.0,fav,1,50,3.6090811252945283,0.11329484053675193
0.3,0.17587939698492464,0.052763819095477386,4.0,unf,3,50,1.6054603215075736,0.03642667130799045
0.3,0.18090452261306533,0.054271356783919596,4.0,fav,1,50,3.604431272789496,0.1130013495290628
0.3,0.18090452261306533,0.054271356783919596,4.0,unf,3,50,1.6036938515495291,0.03634563884880713
0.3,0.18592964824120603,0.055778894472361805,4.0,fav,1,50,3.5996566910637076,0.11270018386910759
0.3,0.18592964824120603,0.055778894472361805,4.0,unf,3,50,1.6018796494621736,0.036262463982264403
0.3,0.19095477386934673,0.057286432160804014,4.0,fav,1,50,3.5947578923988215,0.11239139183958487
0.3,0.19095477386934673,0.057286432160804014,4.0,unf,3,50,1.600017881786531,0.03617715816715042
0.3,0.19597989949748745,0.05879396984924623,4.0,fav,1,50,3.5897354019239383,0.11207502289626729
0.3,0.19597989949748745,0.05879396984924623,4.0,unf,3,50,1.598108719297266,0.03608973314590411
0.3,0.20100502512562815,0.06030150753768844,4.0,fav,1,50,3.5845897575216976,0.11175112765622017
0.3,0.20100502512562815,0.06030150753768844,4.0,unf,3,50,1.5961523369765727,0.03600020094199759
0.3,0.20603015075376885,0.06180904522613065,4.0,fav,1,50,3.5793215097322015,0.11141975788545824
0.3,0.20603015075376885,0.06180904522613065,4.0,unf,3,50,1.594148913987426,0.035908573857694255
0.3,0.21105527638190955,0.06331658291457286,4.0,fav,1,50,3.5739312216547523,0.11108096648708082
0.3,0.21105527638190955,0.06331658291457286,4.0,unf,3,50,1.5920986336462297,0.03581486447147624
0.3,0.21608040201005024,0.06482412060301507,4.0,fav,1,50,3.568419468847474,0.11073480748830364
0.3,0.21608040201005024,0.06482412060301507,4.0,unf,3,50,1.5900016833948458,0.03571908563550805
0.3,0.22110552763819097,0.06633165829145729,4.0,fav,1,50,3.5627868392247923,0.11038133602801653
0.3,0.22110552763819097,0.06633165829145729,4.0,unf,3,50,1.587858254772029,0.03562125047284369
0.3,0.22613065326633167,0.0678391959798995,4.0,fav,1,50,3.557033932952856,0.11002060834322695
0.3,0.22613065326633167,0.0678391959798995,4.0,unf,3,50,1.5856685433842495,0.035521372375078554
0.3,0.23115577889447236,0.06934673366834171,4.0,fav,1,50,3.5511613623428517,0.10965268175672387
0.3,0.23115577889447236,0.06934673366834171,4.0,unf,3,50,1.5834327488759365,0.0354194649993319
0.3,0.23618090452261306,0.07085427135678392,4.0,fav,1,50,3.5451697517423417,0.10927761466215698
0.3,0.23618090452261306,0.07085427135678392,4.0,unf,3,50,1.5811510748991295,0.035315542265703145
0.3,0.24120603015075376,0.07236180904522613,4.0,fav,1,50,3.5390597374245276,0.10889546651164254
0.3,0.24120603015075376,0.07236180904522613,4.0,unf,3,50,1.578823729082552,0.03520961835424604
0.3,0.24623115577889448,0.07386934673366834,4.0,fav,1,50,3.5328319674755853,0.10850629780084363
0.3,0.24623115577889448,0.07386934673366834,4.0,unf,3,50,1.5764509230001114,0.0351017077022976
0.3,0.25125628140703515,0.07537688442211055,4.0,fav,1,50,3.5264871016800097,0.10811017005508655
0.3,0.25125628140703515,0.07537688442211055,4.0,unf,3,50,1.5740328721388377,0.03499182500133108
0.3,0.2562814070351759,0.07688442211055276,4.0,fav,1,50,3.52002581140405,0.10770714581494961
0.3,0.2562814070351759,0.07688442211055276,4.0,unf,3,50,1.571569795866252,0.03487998519434022
0.3,0.2613065326633166,0.07839195979899498,4.0,fav,1,50,3.5134487794772506,0.10729728862145262
0.3,0.2613065326633166,0.07839195979899498,4.0,unf,3,50,1.5690619173971998,0.03476620347239276
0.3,0.2663316582914573,0.07989949748743717,4.0,fav,1,50,3.5067567000721156,0.10688066300112001
0.3,0.2663316582914573,0.07989949748743717,4.0,unf,3,50,1.5665094637601222,0.034650495271864756
0.3,0.271356783919598,0.0814070351758794,4.0,fav,1,50,3.4999502785819363,0.10645733445104036
0.3,0.271356783919598,0.0814070351758794,4.0,unf,3,50,1.563912665762799,0.0345328762713418
0.3,0.2763819095477387,0.08291457286432162,4.0,fav,1,50,3.493030231496811,0.10602736942373009
0.3,0.2763819095477387,0.08291457286432162,4.0,unf,3,50,1.5612717579575617,0.03441336238814607
0.3,0.2814070351758794,0.08442211055276382,4.0,fav,1,50,3.485997286277893,0.10559083531127572
0.3,0.2814070351758794,0.08442211055276382,4.0,unf,3,50,1.55858697860597,0.03429196977574156
0.3,0.2864321608040201,0.08592964824120604,4.0,fav,1,50,3.478852181229898,0.10514780042961269
