z,Q2,flavor,flavor_index,nrep,H1perp1_mean,H1perp1_std
0.14788944723618092,4.0,ub,2,50,-7.804662208368442,2.863942851939907
0.14788944723618092,4.0,d,3,50,-7.804662208368442,2.863942851939907
0.14788944723618092,4.0,db,4,50,3.393194034120423,1.9053088331804255
0.14788944723618092,4.0,s,5,50,-7.804662208368442,2.863942851939907
0.14788944723618092,4.0,sb,6,50,-7.804662208368442,2.863942851939907
0.14788944723618092,4.0,c,7,50,0.0,0.0
0.14788944723618092,4.0,cb,8,50,0.0,0.0
0.14788944723618092,4.0,b,9,50,0.0,0.0
0.14788944723618092,4.0,bb,10,50,0.0,0.0
0.1528140703517588,4.0,u,1,50,3.3205657860587494,1.8073965257011073
0.1528140703517588,4.0,ub,2,50,-7.174751073446664,2.5582422498338446
0.1528140703517588,4.0,d,3,50,-7.174751073446664,2.5582422498338446
0.1528140703517588,4.0,db,4,50,3.3205657860587494,1.8073965257011073
0.1528140703517588,4.0,s,5,50,-7.174751073446664,2.5582422498338446
0.1528140703517588,4.0,sb,6,50,-7.174751073446664,2.5582422498338446
0.1528140703517588,4.0,c,7,50,0.0,0.0
0.1528140703517588,4.0,cb,8,50,0.0,0.0
0.1528140703517588,4.0,b,9,50,0.0,0.0
0.1528140703517588,4.0,bb,10,50,0.0,0.0
0.1577386934673367,4.0,u,1,50,3.244152851147299,1.711882765896523
0.1577386934673367,4.0,ub,2,50,-6.594040211050542,2.2887303177454377
0.1577386934673367,4.0,d,3,50,-6.594040211050542,2.2887303177454377
0.1577386934673367,4.0,db,4,50,3.244152851147299,1.711882765896523
0.1577386934673367,4.0,s,5,50,-6.594040211050542,2.2887303177454377
0.1577386934673367,4.0,sb,6,50,-6.594040211050542,2.2887303177454377
0.1577386934673367,4.0,c,7,50,0.0,0.0
0.1577386934673367,4.0,cb,8,50,0.0,0.0
0.1577386934673367,4.0,b,9,50,0.0,0.0
0.1577386934673367,4.0,bb,10,50,0.0,0.0
0.16266331658291458,4.0,u,1,50,3.1645143296172473,1.618999789369577
0.16266331658291458,4.0,ub,2,50,-6.0593497803200105,2.051079582097415
0.16266331658291458,4.0,d,3,50,-6.0593497803200105,2.051079582097415
0.16266331658291458,4.0,db,4,50,3.1645143296172473,1.618999789369577
0.16266331658291458,4.0,s,5,50,-6.0593497803200105,2.051079582097415
0.16266331658291458,4.0,sb,6,50,-6.0593497803200105,2.051079582097415
0.16266331658291458,4.0,c,7,50,0.0,0.0
0.16266331658291458,4.0,cb,8,50,0.0,0.0
0.16266331658291458,4.0,b,9,50,0.0,0.0
0.16266331658291458,4.0,bb,10,50,0.0,0.0
0.16758793969849248,4.0,u,1,50,3.0821762719719983,1.528942316001353
0.16758793969849248,4.0,ub,2,50,-5.567606000244013,1.841412253393743
0.16758793969849248,4.0,d,3,50,-5.567606000244013,1.841412253393743
0.16758793969849248,4.0,db,4,50,3.0821762719719983,1.528942316001353
0.16758793969849248,4.0,s,5,50,-5.567606000244013,1.841412253393743
0.16758793969849248,4.0,sb,6,50,-5.567606000244013,1.841412253393743
0.16758793969849248,4.0,c,7,50,0.0,0.0
0.16758793969849248,4.0,cb,8,50,0.0,0.0
0.16758793969849248,4.0,b,9,50,0.0,0.0
0.16758793969849248,4.0,bb,10,50,0.0,0.0
0.17251256281407037,4.0,u,1,50,2.997632055506935,1.4418702174834153
0.17251256281407037,4.0,ub,2,50,-5.11585492605093,1.656268950356744
0.17251256281407037,4.0,d,3,50,-5.11585492605093,1.656268950356744
0.17251256281407037,4.0,db,4,50,2.997632055506935,1.4418702174834153
0.17251256281407037,4.0,s,5,50,-5.11585492605093,1.656268950356744
0.17251256281407037,4.0,sb,6,50,-5.11585492605093,1.656268950356744
0.17251256281407037,4.0,c,7,50,0.0,0.0
0.17251256281407037,4.0,cb,8,50,0.0,0.0
0.17251256281407037,4.0,b,9,50,0.0,0.0
0.17251256281407037,4.0,bb,10,50,0.0,0.0
0.17743718592964824,4.0,u,1,50,2.9113429335899967,1.3579110961640453
0.17743718592964824,4.0,ub,2,50,-4.701272077293338,1.4925779499527287
0.17743718592964824,4.0,d,3,50,-4.701272077293338,1.4925779499527287
0.17743718592964824,4.0,db,4,50,2.9113429335899967,1.3579110961640453
0.17743718592964824,4.0,s,5,50,-4.701272077293338,1.4925779499527287
0.17743718592964824,4.0,sb,6,50,-4.701272077293338,1.4925779499527287
0.17743718592964824,4.0,c,7,50,0.0,0.0
0.17743718592964824,4.0,cb,8,50,0.0,0.0
0.17743718592964824,4.0,b,9,50,0.0,0.0
0.17743718592964824,4.0,bb,10,50,0.0,0.0
0.18236180904522614,4.0,u,1,50,2.823738728214687,1.2771627773906213
0.18236180904522614,4.0,ub,2,50,-4.321168663989911,1.3476249447013253
0.18236180904522614,4.0,d,3,50,-4.321168663989911,1.3476249447013253
0.18236180904522614,4.0,db,4,50,2.823738728214687,1.2771627773906213
0.18236180904522614,4.0,s,5,50,-4.321168663989911,1.3476249447013253
0.18236180904522614,4.0,sb,6,50,-4.321168663989911,1.3476249447013253
0.18236180904522614,4.0,c,7,50,0.0,0.0
0.18236180904522614,4.0,cb,8,50,0.0,0.0
0.18236180904522614,4.0,b,9,50,0.0,0.0
0.18236180904522614,4.0,bb,10,50,0.0,0.0
0.18728643216080404,4.0,u,1,50,2.7352186401293794,1.1996957161077528
0.18728643216080404,4.0,ub,2,50,-3.9729950375649468,1.2190232954576734
0.18728643216080404,4.0,d,3,50,-3.9729950375649468,1.2190232954576734
0.18728643216080404,4.0,db,4,50,2.7352186401293794,1.1996957161077528
0.18728643216080404,4.0,s,5,50,-3.9729950375649468,1.2190232954576734
0.18728643216080404,4.0,sb,6,50,-3.9729950375649468,1.2190232954576734
0.18728643216080404,4.0,c,7,50,0.0,0.0
0.18728643216080404,4.0,cb,8,50,0.0,0.0
0.18728643216080404,4.0,b,9,50,0.0,0.0
0.18728643216080404,4.0,bb,10,50,0.0,0.0
0.19221105527638194,4.0,u,1,50,2.646152154161791,1.1255553173168757
0.19221105527638194,4.0,ub,2,50,-3.6543418929395846,1.1046848162744398
0.19221105527638194,4.0,d,3,50,-3.6543418929395846,1.1046848162744398
0.19221105527638194,4.0,db,4,50,2.646152154161791,1.1255553173168757
0.19221105527638194,4.0,s,5,50,-3.6543418929395846,1.1046848162744398
0.19221105527638194,4.0,sb,6,50,-3.6543418929395846,1.1046848162744398
0.19221105527638194,4.0,c,7,50,0.0,0.0
0.19221105527638194,4.0,cb,8,50,0.0,0.0
0.19221105527638194,4.0,b,9,50,0.0,0.0
0.19221105527638194,4.0,bb,10,50,0.0,0.0
0.1971356783919598,4.0,u,1,50,2.5568800202591175,1.054764169123408
0.1971356783919598,4.0,ub,2,50,-3.3629396636600024,1.0027911982166888
0.1971356783919598,4.0,d,3,50,-3.3629396636600024,1.0027911982166888
0.1971356783919598,4.0,db,4,50,2.5568800202591175,1.054764169123408
0.1971356783919598,4.0,s,5,50,-3.3629396636600024,1.0027911982166888
0.1971356783919598,4.0,sb,6,50,-3.3629396636600024,1.0027911982166888
0.1971356783919598,4.0,c,7,50,0.0,0.0
0.1971356783919598,4.0,cb,8,50,0.0,0.0
0.1971356783919598,4.0,b,9,50,0.0,0.0
0.1971356783919598,4.0,bb,10,50,0.0,0.0
0.2020603015075377,4.0,u,1,50,2.467715293306905,0.9873241864815309
0.2020603015075377,4.0,ub,2,50,-3.0966564807153567,0.9117662500836108
0.2020603015075377,4.0,d,3,50,-3.0966564807153567,0.9117662500836108
0.2020603015075377,4.0,db,4,50,2.467715293306905,0.9873241864815309
0.2020603015075377,4.0,s,5,50,-3.0966564807153567,0.9117662500836108
0.2020603015075377,4.0,sb,6,50,-3.0966564807153567,0.9117662500836108
0.2020603015075377,4.0,c,7,50,0.0,0.0
0.2020603015075377,4.0,cb,8,50,0.0,0.0
0.2020603015075377,4.0,b,9,50,0.0,0.0
0.2020603015075377,4.0,bb,10,50,0.0,0.0
0.2069849246231156,4.0,u,1,50,2.3789444170195724,0.9232186633744298
0.2069849246231156,4.0,ub,2,50,-2.853495005520782,0.8302491878881327
0.2069849246231156,4.0,d,3,50,-2.853495005520782,0.8302491878881327
0.2069849246231156,4.0,db,4,50,2.3789444170195724,0.9232186633744298
0.2069849246231156,4.0,s,5,50,-2.853495005520782,0.8302491878881327
0.2069849246231156,4.0,sb,6,50,-2.853495005520782,0.8302491878881327
0.2069849246231156,4.0,c,7,50,0.0,0.0
0.2069849246231156,4.0,cb,8,50,0.0,0.0
0.2069849246231156,4.0,b,9,50,0.0,0.0
0.2069849246231156,4.0,bb,10,50,0.0,0.0
0.21190954773869347,4.0,u,1,50,2.2908283391523354,0.8624142310150349
0.21190954773869347,4.0,ub,2,50,-2.631588396632364,0.7570692300265639
0.21190954773869347,4.0,d,3,50,-2.631588396632364,0.7570692300265639
0.21190954773869347,4.0,db,4,50,2.2908283391523354,0.8624142310150349
0.21190954773869347,4.0,s,5,50,-2.631588396632364,0.7570692300265639
0.21190954773869347,4.0,sb,6,50,-2.631588396632364,0.7570692300265639
0.21190954773869347,4.0,c,7,50,0.0,0.0
0.21190954773869347,4.0,cb,8,50,0.0,0.0
0.21190954773869347,4.0,b,9,50,0.0,0.0
0.21190954773869347,4.0,bb,10,50,0.0,0.0
