x,kT,Q2,flavor,flavor_index,nrep,collins_mean,collins_std
0.01,0.19808080808080808,4.0,unf,3,50,-0.014082718753452388,0.030607452130918075
0.01,0.207979797979798,4.0,fav,1,50,8.211157356827645e-05,0.0002186208125054092
0.01,0.207979797979798,4.0,unf,3,50,-0.014082606460087405,0.030607175373726016
0.01,0.21787878787878787,4.0,fav,1,50,8.211122736732614e-05,0.00021861996963513084
0.01,0.21787878787878787,4.0,unf,3,50,-0.014082488692725235,0.030606885125634038
0.01,0.22777777777777777,4.0,fav,1,50,8.211086507346356e-05,0.00021861908758444832
0.01,0.22777777777777777,4.0,unf,3,50,-0.014082365451509017,0.0306065813870326
0.01,0.23767676767676768,4.0,fav,1,50,8.211048668693655e-05,0.0002186181663539431
0.01,0.23767676767676768,4.0,unf,3,50,-0.014082236736588578,0.030606264158330208
0.01,0.24757575757575756,4.0,fav,1,50,8.211009220800414e-05,0.00021861720594422266
0.01,0.24757575757575756,4.0,unf,3,50,-0.014082102548120397,0.03060593343995357
0.01,0.25747474747474747,4.0,fav,1,50,8.210968163693618e-05,0.00021861620635592015
0.01,0.25747474747474747,4.0,unf,3,50,-0.014081962886267556,0.030605589232347526
0.01,0.2673737373737374,4.0,fav,1,50,8.210925497401365e-05,0.00021861516758969477
0.01,0.2673737373737374,4.0,unf,3,50,-0.01408181775119987,0.03060523153597502
0.01,0.2772727272727273,4.0,fav,1,50,8.210881221952838e-05,0.00021861408964623128
0.01,0.2772727272727273,4.0,unf,3,50,-0.01408166714309375,0.03060486035131716
0.01,0.2871717171717172,4.0,fav,1,50,8.210835337378337e-05,0.00021861297252624053
0.01,0.2871717171717172,4.0,unf,3,50,-0.01408151106213226,0.030604475678873207
0.01,0.29707070707070704,4.0,fav,1,50,8.210787843709259e-05,0.00021861181623045897
0.01,0.29707070707070704,4.0,unf,3,50,-0.014081349508505134,0.030604077519160524
0.01,0.30696969696969695,4.0,fav,1,50,8.2107387409781e-05,0.00021861062075964895
0.01,0.30696969696969695,4.0,unf,3,50,-0.014081182482408756,0.03060366587271466
0.01,0.31686868686868686,4.0,fav,1,50,8.210688029218453e-05,0.00021860938611459874
0.01,0.31686868686868686,4.0,unf,3,50,-0.014081009984046149,0.030603240740089244
0.01,0.32676767676767676,4.0,fav,1,50,8.21063570846502e-05,0.00021860811229612234
0.01,0.32676767676767676,4.0,unf,3,50,-0.014080832013626993,0.030602802121856055
0.01,0.33666666666666667,4.0,fav,1,50,8.21058177875359e-05,0.00021860679930505957
0.01,0.33666666666666667,4.0,unf,3,50,-0.014080648571367607,0.03060235001860504
0.01,0.3465656565656566,4.0,fav,1,50,8.210526240121073e-05,0.00021860544714227606
0.01,0.3465656565656566,4.0,unf,3,50,-0.014080459657490975,0.03060188443094422
0.01,0.3564646464646465,4.0,fav,1,50,8.21046909260546e-05,0.0002186040558086633
0.01,0.3564646464646465,4.0,unf,3,50,-0.014080265272226732,0.03060140535949977
0.01,0.36636363636363634,4.0,fav,1,50,8.210410336245854e-05,0.00021860262530513857
0.01,0.36636363636363634,4.0,unf,3,50,-0.014080065415811133,0.030600912804916024
0.01,0.37626262626262624,4.0,fav,1,50,8.210349971082453e-05,0.00021860115563264497
0.01,0.37626262626262624,4.0,unf,3,50,-0.014079860088487122,0.03060040676785539
0.01,0.38616161616161615,4.0,fav,1,50,8.210287997156557e-05,0.00021859964679215143
0.01,0.38616161616161615,4.0,unf,3,50,-0.014079649290504233,0.03059988724899843
0.01,0.39606060606060606,4.0,fav,1,50,8.210224414510568e-05,0.00021859809878465274
0.01,0.39606060606060606,4.0,unf,3,50,-0.01407943302211871,0.030599354249043805
0.01,0.40595959595959596,4.0,fav,1,50,8.210159223187989e-05,0.0002185965116111693
0.01,0.40595959595959596,4.0,unf,3,50,-0.014079211283593402,0.030598807768708353
0.01,0.41585858585858587,4.0,fav,1,50,8.210092423233413e-05,0.00021859488527274757
0.01,0.41585858585858587,4.0,unf,3,50,-0.01407898407519782,0.030598247808726962
0.01,0.4257575757575757,4.0,fav,1,50,8.210024014692554e-05,0.00021859321977045967
0.01,0.4257575757575757,4.0,unf,3,50,-0.01407875139720811,0.03059767436985269
0.01,0.43565656565656563,4.0,fav,1,50,8.209953997612203e-05,0.0002185915151054035
0.01,0.43565656565656563,4.0,unf,3,50,-0.014078513249907072,0.030597087452856685
0.01,0.44555555555555554,4.0,fav,1,50,8.209882372040268e-05,0.00021858977127870295
0.01,0.44555555555555554,4.0,unf,3,50,-0.014078269633584148,0.03059648705852821
0.01,0.45545454545454545,4.0,fav,1,50,8.209809138025746e-05,0.00021858798829150748
0.01,0.45545454545454545,4.0,unf,3,50,-0.014078020548535403,0.030595873187674656
0.01,0.46535353535353535,4.0,fav,1,50,8.209734295618741e-05,0.00021858616614499254
0.01,0.46535353535353535,4.0,unf,3,50,-0.014077765995063584,0.030595245841121523
0.01,0.47525252525252526,4.0,fav,1,50,8.209657844870451e-05,0.0002185843048403593
0.01,0.47525252525252526,4.0,unf,3,50,-0.014077505973478052,0.030594605019712413
0.01,0.4851515151515151,4.0,fav,1,50,8.209579785833182e-05,0.00021858240437883466
0.01,0.4851515151515151,4.0,unf,3,50,-0.014077240484094809,0.030593950724309028
